timestamp (μs),power (μA),pins (D0-D7)
0,1.2434142,01000000
111,1.3489155,01000000
140,1.4280416,01000000
180,1.2522058,01000000
1315,1.3489155,01000000
1345,1.3533113,01000000
1377,1.2390182,01000000
1506,1.1511005,01000000
1539,1.2346222,01000000
1571,1.2873732,01000000
1678,1.2434142,01000000
1711,1.085162,01000000
1759,1.1379128,01000000
1843,1.0236195,01000000
1909,1.0192238,01000000
1980,1.0983497,01000000
2041,1.014828,01000000
2107,1.133517,01000000
2172,1.1467044,01000000
2237,1.1730798,01000000
2400,1.0851622,01000000
2465,1.0675786,01000000
2530,1.0587867,01000000
2596,1.0939538,01000000
2662,1.2302264,01000000
2727,1.2390182,01000000
2790,1.2214347,01000000
2846,1.1159334,01000000
2887,1.1642882,01000000
2928,0.9796608,01000000
2967,1.089558,01000000
3010,1.1554964,01000000
3049,1.1950593,01000000
3090,1.0192238,01000000
3130,1.1554964,01000000
3170,1.1027457,01000000
3211,1.0412031,01000000
3258,1.0280155,01000000
3300,1.0324115,01000000
3341,1.0939538,01000000
3382,1.0016402,01000000
3423,1.0807662,01000000
3464,1.010432,01000000
3505,1.006036,01000000
3546,1.0675786,01000000
3664,0.92691004,01000000
3707,0.9049307,01000000
3748,0.9928484,01000000
3788,4.342516,01000000
3821,6.7602553,01000000
3853,6.7558594,01000000
3886,6.5580435,01000000
4020,6.5624404,01000000
4054,6.3294587,01000000
4088,6.171206,01000000
4603,5.9953704,01000000
4638,6.0261416,01000000
4670,5.968995,01000000
4778,5.876682,01000000
4811,5.7667837,01000000
4844,5.6349072,01000000
4944,5.428301,01000000
4979,5.4898434,01000000
5012,5.3579664,01000000
5043,5.1557555,01000000
5141,5.1557555,01000000
5174,5.195318,01000000
5207,5.094213,01000000
5322,4.975524,01000000
5356,4.826064,01000000
5389,4.694187,01000000
5466,4.702979,01000000
5500,4.790897,01000000
5532,4.632645,01000000
5638,4.4787884,01000000
5671,4.351308,01000000
5703,4.2458067,01000000
5803,4.302953,01000000
5835,4.175472,01000000
5867,4.0743666,01000000
5900,4.026012,01000000
6002,4.056783,01000000
6034,3.784238,01000000
6067,4.056783,01000000
6168,3.9952407,01000000
6201,3.9073231,01000000
6232,3.8897395,01000000
6399,3.788634,01000000
6434,3.7754464,01000000
6465,3.7314878,01000000
6613,3.7666545,01000000
6648,3.7182999,01000000
6680,3.5336723,01000000
6780,3.3754203,01000000
6814,3.234752,01000000
6846,3.384212,01000000
6877,3.2655232,01000000
6963,3.15123,01000000
6995,3.1028755,01000000
7027,3.234752,01000000
7146,3.1688137,01000000
7177,2.9006643,01000000
7209,3.1072712,01000000
7386,3.0545204,01000000
7418,3.0677085,01000000
7449,2.918248,01000000
7966,2.8391218,01000000
7998,2.9050603,01000000
8028,2.8830807,01000000
8138,2.8918726,01000000
8169,2.8215382,01000000
8201,2.8303304,01000000
8232,2.636911,01000000
8394,2.553389,01000000
8425,2.6632864,01000000
8457,2.5973477,01000000
8559,2.6149316,01000000
8590,2.6544945,01000000
8622,2.6720784,01000000
8732,2.4918466,01000000
8764,2.4786592,01000000
8796,2.3072193,01000000
8898,2.3511782,01000000
8931,2.2764482,01000000
8963,2.443492,01000000
9064,2.2720523,01000000
9095,2.2632604,01000000
9126,2.3555741,01000000
9157,2.2456768,01000000
9304,2.1885304,01000000
9332,2.0390701,01000000
9363,1.9115894,01000000
9471,2.0302784,01000000
9502,2.1401756,01000000
9533,2.0082989,01000000
9644,1.9511524,01000000
9677,2.0082989,01000000
9706,2.043466,01000000
9809,1.9775276,01000000
9841,2.1313837,01000000
9871,1.9027975,01000000
9979,1.9819235,01000000
10011,2.1050084,01000000
10042,1.9907154,01000000
10071,1.9115893,01000000
10172,1.8940058,01000000
10204,1.7885044,01000000
10233,1.8324635,01000000
10391,1.8280674,01000000
